Product Name,Name,Rating,Title,Date,Verified Purchase,Variant Details,Helpful Count,Review Body,Photo URLs
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Sneha Shenoy M D","5.0","","15 February 2021","Verified Purchase","N/A","14 people found this helpful","Amazing product  Worth money  I have taken this tablet for a month now works wonders for me  It also has laxative effect and hence will solve constipation problems.  It makes me go 3/4 times a day to defecate so I take it on alternate days just to control the effect while I go oly once now  Pls take this on doctor recommendations if u are taking any other pills or if u wanna take more than a pill a day  So try it once if everything is fine then go for it one tablet a day else take it alternative day  The box says for diff conditions diff no. Of capsules that is to be taken but it again depends on the individual I had to take 2 by the looks of it  But taking one table every day was making me go to rest room 4 times or so Wch is not a good thing when u are working in corporate hence I switched to one tablet alternative days  Flavour is amazing it smells like light vanilla Definitely worth money","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Adweyta Shambharkar","4.0","","6 February 2026","Verified Purchase","Size: 200 count (Pack of 1)","One person found this helpful","Good product","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Don Corleone","5.0","","7 March 2026","Verified Purchase","Size: 200 count (Pack of 1)","0 people found this helpful","Tried them all. This is simply the best fish oil there is. Zero fishy burps, no acidity nothing. Finally found the product that actually works and does not have fish fat fillers that just cause so much problems in the gut. Go for it","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","trupti vekariya","5.0","","27 April 2026","Verified Purchase","N/A","0 people found this helpful","Best as doctor guide","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Roopa Sharma","5.0","","11 May 2026","Verified Purchase","N/A","0 people found this helpful","Click to play video Expiry date for 60 capsule pack is june 2028। Excellent purchase।","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Julie","4.0","","5 June 2026","Verified Purchase","N/A","0 people found this helpful","Been taking it for 2 months now and it is doing great work","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Jayant","5.0","","27 December 2025","Verified Purchase","N/A","0 people found this helpful","Best fish oil capsules and you don't get any blurps.","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Amazon Customer","3.0","","11 November 2025","Verified Purchase","Size: 200 count (Pack of 1)","4 people found this helpful","Item is good i have been using from sometime now , only this time the lid was open which is not acceptable for this product.","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","NIKITA","4.0","","16 April 2026","Verified Purchase","Size: 40 count (Pack of 1)","0 people found this helpful","very expensive","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Pandi","4.0","","9 February 2026","Verified Purchase","Size: 200 count (Pack of 1)","0 people found this helpful","Excellent","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","M. RAMADOSS","5.0","","12 March 2026","Verified Purchase","N/A","One person found this helpful","Very good","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","KANAGARAJA","5.0","","28 November 2025","Verified Purchase","Size: 200 count (Pack of 1)","8 people found this helpful","I have only used For many years Omega 3 from Amway so far. This is the first time I am using Swiss Omega 3. It is Omega 3 1000 mg from Amway costs around 25 rupees but Omega 3 1500 mg from Swiss costs only 9 rupees.. The rate is low. It seems to be a natural source.I know the method to test whether this is synthetic omega 3 or natural. I have tested it and it is Swiss Natural Source.","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Himanshu","5.0","","25 February 2026","Verified Purchase","Size: 200 count (Pack of 1)","One person found this helpful","Amazing fish oil.","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Gaurav","5.0","","3 February 2026","Verified Purchase","Size: 200 count (Pack of 1)","0 people found this helpful","Jabardast result","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","GURDEEP LAYAL","5.0","","3 January 2026","Verified Purchase","N/A","0 people found this helpful","Awesome","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Melvin Nathan","5.0","","7 December 2025","Verified Purchase","Size: 40 count (Pack of 1)","0 people found this helpful","This product is amazing I am waiting for it, i didn't get a call or so..item as returned","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Anant Seksaria","5.0","","27 December 2025","Verified Purchase","Size: 40 count (Pack of 1)","0 people found this helpful","Good product","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","UK","5.0","","28 December 2025","Verified Purchase","Size: 40 count (Pack of 1)","One person found this helpful","Regular user","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Surya","5.0","","22 November 2025","Verified Purchase","N/A","2 people found this helpful","Great Quality.No fishy burps.Blidly go for it.First option is Swiss ,second option is Muscle blaze and third option is centrum.","No Photos"
"Swisse Fish Oil with 1500mg Omega 3 - One Capsule Per Serving, Highest Omega-3 Content, Manufactured In Australia - 40 Days Pack","Jassi singh","5.0","","5 December 2025","Verified Purchase","N/A","0 people found this helpful","This is not an GMP certified product...","No Photos"
